order_id,customer_id,order_ts,region,status,quantity,unit_price,discount,net_amount
ORD-000005,CUST-2674,2025-01-01 03:22:36,west,created,2,65.6,0,131.2
ORD-000001,CUST-4657,2025-01-01 05:04:49,north,created,1,189.26,0,189.26
ORD-000002,CUST-2535,2025-01-01 07:57:37,south,created,5,114.15,0,570.75
ORD-000003,CUST-9928,2025-01-01 15:16:27,south,returned,5,61.73,15,293.65
ORD-000004,CUST-3615,2025-01-01 15:23:12,east,delivered,5,80.37,0,401.85
ORD-000012,CUST-5386,2025-01-02 02:24:35,south,delivered,1,204.19,5,199.19
ORD-000013,CUST-8517,2025-01-02 05:12:06,east,shipped,2,169.03,5,333.06
ORD-000008,CUST-2307,2025-01-02 08:28:32,north,returned,1,170.4,0,170.4
ORD-000011,CUST-4598,2025-01-02 11:48:24,north,shipped,2,123.63,0,247.26
ORD-000009,CUST-3664,2025-01-02 13:28:40,east,shipped,3,121.55,0,364.65
ORD-000006,CUST-8527,2025-01-02 19:31:24,north,returned,3,156.88,0,470.64
ORD-000007,CUST-6925,2025-01-02 21:01:14,south,created,1,144.73,15,129.73
ORD-000014,CUST-5304,2025-01-02 21:17:02,west,returned,2,190.07,10,370.14
ORD-000010,CUST-2169,2025-01-02 22:10:40,south,shipped,3,179.93,15,524.79
ORD-000023,CUST-8962,2025-01-03 02:31:11,south,shipped,5,237.53,0,1187.65
ORD-000018,CUST-6573,2025-01-03 04:03:41,east,returned,5,191.46,15,942.3
ORD-000020,CUST-4258,2025-01-03 05:33:52,east,shipped,3,212.79,10,628.37
ORD-000022,CUST-6038,2025-01-03 08:43:05,north,shipped,1,41.29,0,41.29
ORD-000017,CUST-9669,2025-01-03 09:09:13,north,created,4,155.03,5,615.12
ORD-000015,CUST-9348,2025-01-03 17:58:06,north,created,2,249.37,0,498.74
ORD-000019,CUST-5315,2025-01-03 18:13:32,south,created,2,121.63,15,228.26
ORD-000016,CUST-7916,2025-01-03 21:42:52,north,returned,1,50.92,0,50.92
ORD-000021,CUST-1009,2025-01-03 21:48:24,east,returned,5,239.07,10,1185.35
ORD-000031,CUST-6559,2025-01-04 03:58:42,south,shipped,1,29.24,15,14.24
ORD-000034,CUST-4872,2025-01-04 06:03:18,west,returned,5,211.47,0,1057.35
ORD-000032,CUST-7912,2025-01-04 06:40:50,east,returned,2,141.03,0,282.06
ORD-000024,CUST-7932,2025-01-04 07:42:40,south,delivered,5,53.8,10,259.0
ORD-000027,CUST-1964,2025-01-04 08:20:07,north,created,1,31.68,15,16.68
ORD-000029,CUST-8749,2025-01-04 14:49:14,south,created,5,150.41,0,752.05
ORD-000030,CUST-7939,2025-01-04 14:58:03,west,created,1,169.86,0,169.86
ORD-000025,CUST-7118,2025-01-04 15:57:02,west,created,4,248.86,15,980.44
ORD-000028,CUST-5562,2025-01-04 17:40:24,south,shipped,3,31.65,0,94.95
ORD-000033,CUST-8260,2025-01-04 20:02:12,north,created,2,220.5,0,441.0
ORD-000026,CUST-1344,2025-01-04 21:25:10,south,shipped,2,67.8,0,135.6
ORD-000037,CUST-9883,2025-01-05 02:13:09,east,created,2,84.73,0,169.46
ORD-000045,CUST-5333,2025-01-05 04:12:09,north,shipped,1,235.65,0,235.65
ORD-000038,CUST-9701,2025-01-05 05:43:55,north,created,1,152.28,10,142.28
ORD-000041,CUST-4910,2025-01-05 09:40:14,west,shipped,2,172.39,0,344.78
ORD-000044,CUST-9900,2025-01-05 11:00:51,north,delivered,3,81.97,5,240.91
ORD-000043,CUST-3170,2025-01-05 12:42:25,north,shipped,5,65.09,0,325.45
ORD-000035,CUST-3697,2025-01-05 13:47:52,north,returned,2,218.19,0,436.38
ORD-000039,CUST-4853,2025-01-05 14:42:03,north,shipped,2,31.1,0,62.2
ORD-000040,CUST-2343,2025-01-05 15:15:48,east,delivered,5,154.71,10,763.55
ORD-000036,CUST-5673,2025-01-05 15:24:04,west,shipped,3,232.73,5,693.19
ORD-000042,CUST-1152,2025-01-05 16:41:08,north,created,3,122.45,0,367.35
ORD-000050,CUST-3088,2025-01-06 01:31:22,east,delivered,5,144.84,5,719.2
ORD-000051,CUST-5088,2025-01-06 03:44:33,east,returned,1,226.25,0,226.25
ORD-000048,CUST-5291,2025-01-06 05:52:58,west,returned,1,15.83,0,15.83
ORD-000052,CUST-3662,2025-01-06 06:26:46,west,created,5,191.13,0,955.65
ORD-000046,CUST-6617,2025-01-06 07:24:45,east,returned,3,157.14,15,456.42
ORD-000053,CUST-7745,2025-01-06 09:02:07,east,shipped,2,188.09,0,376.18
ORD-000049,CUST-3442,2025-01-06 19:51:51,north,delivered,5,17.27,0,86.35
ORD-000047,CUST-2512,2025-01-06 23:05:36,west,delivered,3,227.75,0,683.25
ORD-000055,CUST-4652,2025-01-07 00:51:41,south,returned,3,207.83,0,623.49
ORD-000054,CUST-4644,2025-01-07 07:15:58,west,delivered,4,219.96,5,874.84
ORD-000056,CUST-5573,2025-01-07 12:47:05,west,delivered,3,80.47,0,241.41
ORD-000058,CUST-6139,2025-01-07 15:53:19,north,returned,1,155.19,0,155.19
ORD-000057,CUST-3925,2025-01-07 21:08:19,east,created,1,42.11,0,42.11
ORD-000065,CUST-6491,2025-01-08 03:24:00,south,delivered,1,81.69,15,66.69
ORD-000062,CUST-7211,2025-01-08 06:20:10,east,returned,5,44.91,5,219.55
ORD-000063,CUST-5700,2025-01-08 07:39:09,west,delivered,5,210.93,0,1054.65
ORD-000061,CUST-7691,2025-01-08 11:52:33,west,delivered,3,134.17,15,387.51
